latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,amenities_count,amenity_wifi,amenity_air_conditioning,amenity_kitchen,amenity_washer,amenity_dryer,amenity_heating,amenity_tv,review_score_total,host_reliability,distance_from_center,room_type_Private room,property_type_Entire cottage,property_type_Entire guest suite,property_type_Entire guesthouse,property_type_Entire home,property_type_Entire loft,property_type_Entire place,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Entire vacation home,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in guest suite,property_type_Private room in guesthouse,property_type_Private room in home,property_type_Private room in rental unit,property_type_Private room in townhouse,property_type_Private room in villa,property_type_Room in aparthotel,property_type_Room in hotel,has_availability_encoded,instant_bookable_encoded
42.66762,-73.79919,3.466300299427989,3.6090288750584176,2.0983751088089653,2.228393456039272,9.49099958206223,1,32,1,2,1125,1125,1.4,1125.0,0.04081606836738674,0.03047098021997011,0.26612680672607303,0.8120070169087189,-0.4142844823062521,-0.3607305163508014,0.034817289684521045,271,7,-0.455171347649775,3.044341534095239,0.6698567015859048,5.0,5.0,5.0,5.0,4.87,5.0,12,2,10,0,-0.7722650855347333,1.5803500011818428,1,1,1,1,1,1,1,0.7211201283679213,-0.0998498744782332,0.8960398036965621,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
42.67224,-73.79301,0.21292713516132086,-0.32067899095280256,0.3400528832457217,-1.4408835356525778,-0.024930496644150237,1,365,1,1,365,365,1.0,365.0,0.889150038356208,0.7767349867624842,0.7595864250286456,-1.236094939385218,-0.20796063548549826,0.4677664143712318,0.034817289684521045,86,26,0.7866784111430334,0.6706886501859841,-0.23687706921038218,4.84,4.86,4.76,4.84,4.65,4.76,23,23,0,0,-0.010763232071729108,0.010183860581722695,1,1,1,1,1,1,1,-0.08318792872548858,-0.054512063933780705,1.4342080036132092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
42.65204,-73.76655,-0.6004161559053461,-0.32067899095280256,-0.5391082295359002,-0.5235642877296154,-0.1107700720963985,1,28,1,1,28,28,1.0,28.0,0.38014965636291526,0.5435274847179485,0.4964079619339402,0.9043394821514783,1.7990076926800163,2.6310639557009847,1.8801336429641369,282,71,1.9250406900364412,1.4719345015800036,0.33738765229393175,4.9,4.82,4.96,4.96,4.79,4.86,4,4,0,0,2.4303632769018737,0.7952669308817827,1,0,1,0,1,1,1,0.3189660998212182,-0.06860789261035163,-0.5562954059133309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
42.65532,-73.78244,-0.6004161559053461,-0.32067899095280256,-0.5391082295359002,-0.5235642877296154,-0.6135447283167098,2,365,2,2,1125,1125,2.0,1125.0,0.21048286236515099,0.4502444839001343,0.5622025777076165,0.12371045782633024,-0.1235554254224626,-0.4067581236131365,-0.5802881614086842,188,6,-0.5241630009160422,-0.626540251485353,0.39783657034701897,4.91,4.93,4.93,4.98,4.93,4.87,8,2,6,0,-0.7506621960747899,-0.31693408537663564,1,1,1,1,1,1,1,0.4992420436524975,-0.09919901486118377,-0.31767250434113997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
42.65431,-73.78178,-0.6004161559053461,-0.32067899095280256,-0.5391082295359002,-0.5235642877296154,-0.7116471002621364,2,730,2,2,730,730,2.0,730.0,0.5498164503606795,-0.15609502141565842,0.06874295940504398,0.8959456216748638,-0.10479871207512134,-0.3147029090884662,0.6499227407777264,280,7,-0.38617969438350785,-0.6022517103476769,0.4885099474266485,4.96,4.94,4.96,4.96,4.96,4.88,8,2,6,0,-0.6912542500599457,-0.31693408537663564,1,0,1,1,1,1,1,0.5755126352734248,-0.09948282665323008,-0.42189032826758066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
42.65269,-73.76567,-0.6004161559053461,-0.32067899095280256,-1.418269342317522,-0.5235642877296154,-0.18434685105546844,2,365,2,2,365,365,2.0,365.0,0.5498164503606795,0.6368104855357628,0.660894501368131,-1.2612765208150616,-0.19858227881182763,1.0200977015192538,0.6499227407777264,83,34,1.614578250338239,1.100154218483984,0.5187344064531908,4.97,5.0,5.0,4.97,4.74,4.95,23,23,0,0,0.691330675376431,-0.3823576745683073,1,1,1,1,0,1,1,0.5547115648313544,-0.029170954494824805,-0.4797169888783865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
42.65824,-73.80114,1.839613717294655,0.46526258224944156,2.0983751088089653,2.228393456039272,0.588209328014766,1,28,1,1,28,28,1.0,28.0,0.46498305336179735,0.5435274847179485,0.43061334616026387,-0.13649921694871914,0.8986854520076359,1.5264013814049406,0.6499227407777264,217,53,1.9250406900364412,2.809184294898648,0.4885099474266485,4.97,4.95,4.95,4.99,4.83,4.88,4,4,0,0,1.150392076400228,1.907467947140201,1,0,1,1,1,1,1,0.5131094239472099,-0.06673940099565243,-0.12770446253359652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
42.66132,-73.7956,-0.19374451037201262,-0.32067899095280256,-0.5391082295359002,-0.5235642877296154,0.4165301771102694,1,365,1,1,365,365,1.0,365.0,-1.4861850776124916,-1.8818305365452224,-2.069582053239437,-0.05256061218257417,0.6548481784921996,-0.3147029090884662,-0.5802881614086842,167,8,-0.38617969438350785,-0.1451855271204994,0.5187344064531908,4.97,4.94,4.97,4.97,4.95,4.9,1,1,0,0,0.24307071908260575,-0.8403227989100089,1,1,1,0,1,1,1,0.6032473958628495,-0.09732377499691969,0.240109619540056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
42.65222,-73.76724,-0.6004161559053461,-0.32067899095280256,-0.5391082295359002,-0.5235642877296154,-0.14755846157593347,2,1125,1,3,1125,1125,2.7,1125.0,-1.4861850776124916,-1.8818305365452224,-1.4445332033895117,0.509828039750597,2.549276226573667,0.37571119984656143,0.6499227407777264,234,22,0.6486951046104992,0.4211790912262205,-0.14620369213075268,4.83,4.71,4.82,4.7,4.8,4.72,4,4,0,0,0.48070250314198293,-0.5132048529516506,1,1,1,1,1,1,1,-0.17332590064112824,-0.09041085882973876,-0.5420582591111234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
42.65422977,-73.76982577,-0.6004161559053461,-0.32067899095280256,-0.5391082295359002,-0.5235642877296154,-0.24566083352136006,1,1125,1,1,365,365,1.0,365.0,1.0588168323539722,0.9166594879892056,0.8911756565759982,1.0973982731136118,-0.4799329790219465,-0.3607305163508014,0.034817289684521045,305,4,-0.455171347649775,-0.4620405865074558,-0.44844828239618345,4.75,4.5,5.0,5.0,4.5,4.63,11,11,0,0,-0.16198345829133268,-2.017947404360099,1,0,1,0,0,0,1,-0.31199970358826673,-0.10022147759851581,-0.3447632975404089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
